column,role,risk_flags,reason
净资产收益率(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
总资产报酬率(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
销售净利率(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
销售毛利率(TTM),factor,heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
经营活动净收益/利润总额(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
营业外收支净额/利润总额(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
营业利润/利润总额(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
利润总额/营业收入(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
经营活动产生的现金流量净额/营业收入(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
经营活动产生的现金流量净额/营业利润(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
营业收入(1年，增长率),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
营业利润(1年，增长率),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
利润总额(1年，增长率),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
净资产收益率(1年，增长率),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
总资产周转率(TTM),factor,high_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
总市值(证监会算法),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
流通市值,factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
市盈率PE(TTM),factor,extreme_skew;heavy_tail;negative_pe,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
市净率PB(LF),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
市销率PS(TTM),factor,extreme_skew;heavy_tail,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
市现率PCF(经营性现金流TTM),factor,extreme_skew;heavy_tail;negative_pcf,factor 字段作为候选解释变量；缺失和缩尾参数只在训练窗口估计。长尾/偏态字段优先建议 Robust/Quantile/Power。
区间涨跌幅(1月),factor,return_like_disabled,return-like 字段默认不进入特征，避免与未来收益标签泄漏或混淆。
区间涨跌幅(3月),factor,leakage_guard_or_label,标签或防泄漏配置禁用字段，不参与特征变换。
区间涨跌幅(6月),factor,return_like_disabled,return-like 字段默认不进入特征，避免与未来收益标签泄漏或混淆。
月平均收益率,label,leakage_guard_or_label,标签或防泄漏配置禁用字段，不参与特征变换。
